date,location,TOTAL_CASES,TOTAL_DEATHS,Deathpercantage
3/17/2020 12:00:00 AM,India,142.0,3,2.113
3/19/2020 12:00:00 AM,India,194.0,4,2.062
3/26/2020 12:00:00 AM,India,727.0,20,2.751
3/28/2020 12:00:00 AM,India,987.0,24,2.432
4/2/2020 12:00:00 AM,India,2543.0,72,2.831
4/4/2020 12:00:00 AM,India,3082.0,86,2.79
4/11/2020 12:00:00 AM,India,8446.0,288,3.41
4/13/2020 12:00:00 AM,India,10453.0,358,3.425
4/20/2020 12:00:00 AM,India,18539.0,592,3.193
4/22/2020 12:00:00 AM,India,21370.0,681,3.187
4/27/2020 12:00:00 AM,India,29451.0,939,3.188
4/29/2020 12:00:00 AM,India,33062.0,1079,3.264
5/6/2020 12:00:00 AM,India,52987.0,1785,3.369
5/8/2020 12:00:00 AM,India,59695.0,1985,3.325
5/15/2020 12:00:00 AM,India,85784.0,2753,3.209
5/17/2020 12:00:00 AM,India,95698.0,3025,3.161
5/22/2020 12:00:00 AM,India,124794.0,3726,2.986
5/24/2020 12:00:00 AM,India,138536.0,4024,2.905
5/31/2020 12:00:00 AM,India,190609.0,5408,2.837
6/2/2020 12:00:00 AM,India,207191.0,5829,2.813
6/9/2020 12:00:00 AM,India,276146.0,7750,2.806
6/11/2020 12:00:00 AM,India,297535.0,8498,2.856
6/16/2020 12:00:00 AM,India,354065.0,11903,3.362
6/18/2020 12:00:00 AM,India,380532.0,12573,3.304
6/25/2020 12:00:00 AM,India,490401.0,15301,3.12
6/27/2020 12:00:00 AM,India,528859.0,16095,3.043
7/4/2020 12:00:00 AM,India,673165.0,19268,2.862
7/6/2020 12:00:00 AM,India,719664.0,20159,2.801
7/11/2020 12:00:00 AM,India,849522.0,22673,2.669
7/13/2020 12:00:00 AM,India,906752.0,23727,2.617
7/20/2020 12:00:00 AM,India,1155338.0,28082,2.431
7/22/2020 12:00:00 AM,India,1238798.0,29861,2.41
7/29/2020 12:00:00 AM,India,1581963.0,34955,2.21
7/31/2020 12:00:00 AM,India,1695988.0,36511,2.153
8/5/2020 12:00:00 AM,India,1964536.0,40699,2.072
8/7/2020 12:00:00 AM,India,2088611.0,42518,2.036
8/14/2020 12:00:00 AM,India,2525922.0,49036,1.941
8/16/2020 12:00:00 AM,India,2647663.0,50921,1.923
8/23/2020 12:00:00 AM,India,3106348.0,57542,1.852
8/25/2020 12:00:00 AM,India,3224547.0,59357,1.841
