location,HighestInfectionCount,PercentPopulationinfected
Falkland Islands,1930.0,50.776
Saint Pierre and Miquelon,3411.0,57.961
Nauru,4621.0,36.412
Monaco,16056.0,44.0
Marshall Islands,15554.0,37.396
Cayman Islands,31472.0,45.796
Dominica,15760.0,21.661
Isle of Man,38008.0,44.962
Saint Vincent and the Grenadines,9581.0,9.216
Tonga,16672.0,15.601
Saint Lucia,29803.0,16.569
Vanuatu,12014.0,3.677
Bahamas,37491.0,9.144
Brunei,275220.0,61.296
Montenegro,286194.0,45.639
Fiji,68820.0,7.402
Guinea-Bissau,8947.0,0.425
Lesotho,34790.0,1.509
Botswana,328887.0,12.504
Armenia,446008.0,16.041
Georgia,1814180.0,48.451
Panama,1029061.0,23.342
Ireland,1700253.0,33.849
Palestine,703228.0,13.395
Liberia,8053.0,0.152
Central African Republic,15361.0,0.275
El Salvador,201785.0,3.185
Kyrgyzstan,206591.0,3.116
Nicaragua,15541.0,0.224
Hong Kong,2869343.0,38.315
Togo,39353.0,0.445
Israel,4784312.0,50.633
Papua New Guinea,46663.0,0.46
Sweden,2693458.0,25.532
South Sudan,18368.0,0.168
Haiti,34008.0,0.294
Guinea,38240.0,0.276
Zimbabwe,261606.0,1.603
Cambodia,138683.0,0.827
Somalia,27318.0,0.155
Guatemala,1226529.0,6.874
Kazakhstan,1496390.0,7.714
Malawi,88505.0,0.434
Mali,32777.0,0.145
Malaysia,5035613.0,14.838
Angola,105184.0,0.296
Algeria,271369.0,0.604
South Korea,30130730.0,58.15
Kenya,342810.0,0.635
Myanmar,633815.0,1.17
Germany,37739472.0,45.268
Vietnam,11526377.0,11.739
Democratic Republic of Congo,95473.0,0.096
Egypt,515645.0,0.465
Bangladesh,2037478.0,1.19
Pakistan,1576235.0,0.668
Indonesia,6729209.0,2.443
Vatican,29.0,3.589
Saint Helena,2166.0,40.104
Tuvalu,2828.0,24.949
Wallis and Futuna,3427.0,29.553
Cook Islands,6999.0,41.093
Palau,5986.0,33.101
Aruba,44145.0,41.467
Grenada,19680.0,15.686
Curacao,45986.0,24.055
Belize,70610.0,17.422
Cape Verde,63227.0,10.659
Solomon Islands,24575.0,3.393
Comoros,8992.0,1.075
Mauritius,294089.0,22.631
Estonia,613531.0,46.267
Bahrain,700284.0,47.566
Trinidad and Tobago,187585.0,12.252
Equatorial Guinea,17186.0,1.026
Jamaica,153407.0,5.426
Albania,334144.0,11.756
Uruguay,1031581.0,30.139
Eritrea,10189.0,0.277
Kuwait,662858.0,15.528
Costa Rica,1182371.0,22.822
Finland,1458619.0,26.325
