location,population,date,new_vaccinations,Rollingsumvaccination,vaccinatedpercentage
Brunei,449002.0,11/14/2021 12:00:00 AM,7179,156041,34.753
Brunei,449002.0,11/15/2021 12:00:00 AM,3941,159982,35.631
Brunei,449002.0,11/16/2021 12:00:00 AM,7617,167599,37.327
Brunei,449002.0,11/17/2021 12:00:00 AM,7307,174906,38.954
Brunei,449002.0,11/18/2021 12:00:00 AM,7656,182562,40.66
Brunei,449002.0,11/19/2021 12:00:00 AM,8701,191263,42.597
Brunei,449002.0,11/20/2021 12:00:00 AM,3121,194384,43.292
Brunei,449002.0,11/21/2021 12:00:00 AM,7807,202191,45.031
Brunei,449002.0,11/22/2021 12:00:00 AM,1719,203910,45.414
Brunei,449002.0,11/23/2021 12:00:00 AM,5609,209519,46.663
Brunei,449002.0,11/24/2021 12:00:00 AM,4047,213566,47.565
Brunei,449002.0,11/27/2021 12:00:00 AM,453,214019,47.665
Brunei,449002.0,11/28/2021 12:00:00 AM,2594,216613,48.243
Brunei,449002.0,11/29/2021 12:00:00 AM,624,217237,48.382
Brunei,449002.0,11/30/2021 12:00:00 AM,3170,220407,49.088
Brunei,449002.0,12/1/2021 12:00:00 AM,1272,221679,49.371
Brunei,449002.0,12/2/2021 12:00:00 AM,841,222520,49.559
Brunei,449002.0,12/3/2021 12:00:00 AM,1002,223522,49.782
Brunei,449002.0,12/4/2021 12:00:00 AM,296,223818,49.848
Brunei,449002.0,12/5/2021 12:00:00 AM,1491,225309,50.18
Brunei,449002.0,12/6/2021 12:00:00 AM,557,225866,50.304
Brunei,449002.0,12/7/2021 12:00:00 AM,5524,231390,51.534
Brunei,449002.0,12/8/2021 12:00:00 AM,4768,236158,52.596
Brunei,449002.0,12/9/2021 12:00:00 AM,5054,241212,53.722
Brunei,449002.0,12/10/2021 12:00:00 AM,4863,246075,54.805
Brunei,449002.0,12/11/2021 12:00:00 AM,2075,248150,55.267
Brunei,449002.0,12/12/2021 12:00:00 AM,4628,252778,56.298
Brunei,449002.0,12/13/2021 12:00:00 AM,3130,255908,56.995
Brunei,449002.0,12/14/2021 12:00:00 AM,3827,259735,57.847
Bulgaria,6781955.0,12/30/2020 12:00:00 AM,2889,2889,0.043
Bulgaria,6781955.0,1/6/2021 12:00:00 AM,2465,5354,0.079
Bulgaria,6781955.0,1/7/2021 12:00:00 AM,3204,8558,0.126
Bulgaria,6781955.0,1/8/2021 12:00:00 AM,2238,10796,0.159
Bulgaria,6781955.0,1/9/2021 12:00:00 AM,118,10914,0.161
Bulgaria,6781955.0,1/12/2021 12:00:00 AM,1619,12533,0.185
Bulgaria,6781955.0,1/13/2021 12:00:00 AM,1258,13791,0.203
Bulgaria,6781955.0,1/14/2021 12:00:00 AM,648,14439,0.213
Bulgaria,6781955.0,1/15/2021 12:00:00 AM,440,14879,0.219
Bulgaria,6781955.0,1/16/2021 12:00:00 AM,206,15085,0.222
Bulgaria,6781955.0,1/17/2021 12:00:00 AM,121,15206,0.224
Bulgaria,6781955.0,1/18/2021 12:00:00 AM,1185,16391,0.242
Bulgaria,6781955.0,1/19/2021 12:00:00 AM,2588,18979,0.28
Bulgaria,6781955.0,1/20/2021 12:00:00 AM,1901,20880,0.308
Bulgaria,6781955.0,1/21/2021 12:00:00 AM,1124,22004,0.324
Bulgaria,6781955.0,1/22/2021 12:00:00 AM,850,22854,0.337
Bulgaria,6781955.0,1/23/2021 12:00:00 AM,18,22872,0.337
Bulgaria,6781955.0,1/24/2021 12:00:00 AM,24,22896,0.338
Bulgaria,6781955.0,1/25/2021 12:00:00 AM,655,23551,0.347
Bulgaria,6781955.0,1/26/2021 12:00:00 AM,2324,25875,0.382
Bulgaria,6781955.0,1/27/2021 12:00:00 AM,3795,29670,0.437
Bulgaria,6781955.0,1/28/2021 12:00:00 AM,4719,34389,0.507
Bulgaria,6781955.0,1/29/2021 12:00:00 AM,3169,37558,0.554
Bulgaria,6781955.0,1/30/2021 12:00:00 AM,215,37773,0.557
Bulgaria,6781955.0,1/31/2021 12:00:00 AM,105,37878,0.559
Bulgaria,6781955.0,2/1/2021 12:00:00 AM,1509,39387,0.581
Bulgaria,6781955.0,2/2/2021 12:00:00 AM,3283,42670,0.629
Bulgaria,6781955.0,2/3/2021 12:00:00 AM,4207,46877,0.691
Bulgaria,6781955.0,2/4/2021 12:00:00 AM,3901,50778,0.749
Bulgaria,6781955.0,2/5/2021 12:00:00 AM,2835,53613,0.791
Bulgaria,6781955.0,2/6/2021 12:00:00 AM,156,53769,0.793
